scenario_name	year	co2_ton_per_y	icev_co2_ton_per_y	bev_co2_ton_per_y	all_total_€_per_y	icev_total_€_per_y	icev_vehicles_€_per_y	icev_interest_€_per_y	icev_fuel_€_per_y	icev_driver_€_per_y	icev_co2t_€_per_y	icev_co2i_€_per_y	icev_roadnpoltax_€_per_y	icev_fossil_fuel_liter_per_y	icev_renewable_fuel_liter_per_y	bev_total_€_per_y	bev_vehicles_€_per_y	bev_batteries_€_per_y	bev_pickup_€_per_y	bev_interest_€_per_y	bev_electricity_€_per_y	bev_infrastructure_€_per_y	bev_driver_€_per_y	bev_co2t_€_per_y	bev_co2i_€_per_y	bev_roadnpoltax_€_per_y	bat_kWhWear_per_y	bat_kWhWear_per_kWh	icev_km_per_y	bev_km_per_y	bev_km_ratio	icev_tonkm_per_y	bev_tonkm_per_y	bev_tonkm_ratio	ers_km	Depot_€_per_y	Depot_kWh	Depot_kWh_ratio	Depot_€_per_kWh	Destination_€_per_y	Destination_kWh	Destination_kWh_ratio	Destination_€_per_kWh	Road_€_per_y	Road_kWh	Road_kWh_ratio	Road_€_per_kWh	RestStop_€_per_y	RestStop_kWh	RestStop_kWh_ratio	RestStop_€_per_kWh	MGV16_icev_ratio	MGV16_Depot_kWh	MGV16_Depot_ratio	MGV16_Destination_kWh	MGV16_Destination_ratio	MGV16_Road_kWh	MGV16_Road_ratio	MGV16_RestStop_kWh	MGV16_RestStop_ratio	MGV24_icev_ratio	MGV24_Depot_kWh	MGV24_Depot_ratio	MGV24_Destination_kWh	MGV24_Destination_ratio	MGV24_Road_kWh	MGV24_Road_ratio	MGV24_RestStop_kWh	MGV24_RestStop_ratio	HGV40_icev_ratio	HGV40_Depot_kWh	HGV40_Depot_ratio	HGV40_Destination_kWh	HGV40_Destination_ratio	HGV40_Road_kWh	HGV40_Road_ratio	HGV40_RestStop_kWh	HGV40_RestStop_ratio	HGV60_icev_ratio	HGV60_Depot_kWh	HGV60_Depot_ratio	HGV60_Destination_kWh	HGV60_Destination_ratio	HGV60_Road_kWh	HGV60_Road_ratio	HGV60_RestStop_kWh	HGV60_RestStop_ratio	NA_Diesel_km_ratio	NA_Diesel_routes_ratio	Depot_km_ratio	Depot_routes_ratio	Ers_km_ratio	Ers_routes_ratio	DepotAndErsPropulsion_km_ratio	DepotAndErsPropulsion_routes_ratio	DepotAndErsCharging_km_ratio	DepotAndErsCharging_routes_ratio	AllPlannedStops_km_ratio	AllPlannedStops_routes_ratio	AllPlannedStopsAndErs_km_ratio	AllPlannedStopsAndErs_routes_ratio	AllPlannedAndExtraChargingStops_km_ratio	AllPlannedAndExtraChargingStops_routes_ratio	PublicStaticCharging_km_ratio	PublicStaticCharging_routes_ratio	
Q8_ExpectedScenario_neutral_optional_ers_0	Y2020	5102728	5102728	0	9.570508E+09	9.570508E+09	2.4459653E+09	554803800	1.7272419E+09	3.8220076E+09	1.02055066E+09	510275330	690893950	1.5627336E+09	82249380	0	0	0	0	0	0	0	0	0	0	0	0	0	5.5678525E+09	0	0	7.055169E+10	0	0	0	0	0	0	NaN	0	0	0	NaN	0	0	0	NaN	0	0	0	NaN	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q8_ExpectedScenario_neutral_optional_ers_0	Y2025	4247136	3714071.5	533064.56	1.023486E+10	7.65872E+09	1.9378184E+09	445690720	1.4383859E+09	3.0940713E+09	742812100	408546750	542526660	1.1297155E+09	125523780	2.5761395E+09	552709000	195435150	0	250737860	210609810	117345170	1.1427016E+09	106613040	39865320	199339550	1726175.9	19.756153	4.3328343E+09	1.8435044E+09	0.2984785	5.7021477E+10	2.0874666E+10	0.26798075	0	44474500	891866940	0.40306374	0.049866743	0	0	0	NaN	0	0	0	NaN	72870670	1.3208525E+09	0.5969363	0.055169426	0.8495361	35693900	0.6376493	0	0	0	0	20283422	0.3623507	0.58594674	40697736	0.55173624	0	0	0	0	33065296	0.4482638	0.525565	207030380	0.18932223	0	0	0	0	886504100	0.8106778	0.7782387	608445060	0.6149356	0	0	0	0	381000130	0.38506442	0	0	0.31474176	0.33835003	0	0	0	0	0	0	0.20187494	0.18336941	0	0	0	0	0.48338333	0.47828057
Q8_ExpectedScenario_neutral_optional_ers_0	Y2030	2397112.8	1857305.6	539807.1	1.0688035E+10	6.432414E+09	1.60827E+09	373659400	1.5378501E+09	2.541169E+09	371460670	222876590	462263360	511491040	511491040	4.25562E+09	894734000	209551700	0	389782900	341209250	223948900	2.0884294E+09	107961120	46328788	322199970	2359368.2	39.535763	3.5531955E+09	3.20846E+09	0.47450808	4.894237E+10	3.7061693E+10	0.43092957	0	84535336	1.5199374E+09	0.43130788	0.05561764	28944476	300614560	0.085304454	0.096284345	0	0	0	NaN	110469090	1.7034674E+09	0.48338762	0.06484955	0.5163968	113726250	0.60434943	14059108	0.07471111	0	0	60394268	0.32093948	0.47721285	65632388	0.6575177	3952583.2	0.039597727	0	0	30233472	0.30288464	0.38471395	375051520	0.25925297	63982970	0.044227988	0	0	1.0076279E+09	0.696519	0.615093	965527600	0.5395943	218619740	0.12217772	0	0	605211140	0.338228	0	0	0.34757152	0.32992864	0	0	0	0	0	0	0.23431219	0.23173359	0	0	0	0	0.41811627	0.43833777
Q8_ExpectedScenario_neutral_optional_ers_0	Y2035	1187772.5	707490.5	480282.06	1.0781037E+10	4.8529684E+09	1.2294712E+09	284674370	1.2294853E+09	1.9678456E+09	141497460	91973030	357053100	163818340	574590850	5.9280676E+09	1.2346298E+09	199877840	0	518412830	482076350	316860960	3.0801398E+09	96056410	47413744	461823580	2690891.2	36.16434	2.723333E+09	4.646365E+09	0.63046885	3.6637716E+10	5.831767E+10	0.6141586	0	131148740	2.5993336E+09	0.5185779	0.050454754	51245024	411717920	0.08213944	0.124466345	0	0	0	NaN	134467200	2.0013752E+09	0.3992827	0.0671874	0.49470562	126711540	0.6118799	23039642	0.11125659	0	0	57334456	0.27686352	0.32875276	92116536	0.69045097	7445604.5	0.055807836	0	0	33852892	0.2537412	0.29128072	611710900	0.35622585	80293256	0.046758253	0	0	1.0251954E+09	0.59701586	0.3868386	1.7687937E+09	0.59863263	300939140	0.10185019	0	0	884990500	0.2995172	0	0	0.38696918	0.41210434	0	0	0	0	0	0	0.32858324	0.28697598	0	0	0	0	0.28444755	0.30091968
Q8_ExpectedScenario_neutral_optional_ers_0	Y2040	676374.9	308008.12	368366.75	1.1079133E+10	3.7665587E+09	971353700	229314740	962878500	1.5414214E+09	61601584	43121068	308039580	56725350	519534750	7.312574E+09	1.5601096E+09	172850620	0	601142460	568321200	370583700	3.9659072E+09	73673416	40115610	550503800	2890994	37.006252	2.0996915E+09	5.932347E+09	0.7385855	2.7530985E+10	7.7306356E+10	0.7373933	0	181799250	3.5092278E+09	0.58768564	0.051806055	63710750	519825180	0.08705442	0.12256188	0	0	0	NaN	125073720	1.9422139E+09	0.32525992	0.0643975	0.28515953	220656020	0.7318223	26445102	0.08770718	0	0	54414720	0.18047051	0.23762101	104687520	0.6656348	13585301	0.08637944	0	0	39001880	0.24798572	0.15510842	1.0311239E+09	0.4926531	109290024	0.052216876	0	0	952588100	0.45513004	0.31905192	2.152762E+09	0.6295586	370504580	0.1083512	0	0	896211500	0.26209015	0	0	0.44935247	0.46549594	0	0	0	0	0	0	0.36827302	0.3245132	0	0	0	0	0.18237454	0.20999084
Q8_ExpectedScenario_neutral_optional_ers_0	Y2045	390683.16	96099.16	294584	1.1243936E+10	2.1696988E+09	557747500	130034020	488433630	974264300	19219894	14414904	185891000	13165631	288264960	9.074237E+09	1.9956008E+09	160109490	0	725317100	693133600	402974620	5.0382106E+09	58916844	34971230	679607230	3293622.8	37.296154	1.2157384E+09	7.5470024E+09	0.8612605	1.4158323E+10	1.0159022E+11	0.8776803	0	224884700	4.7425777E+09	0.64644164	0.047418244	62384950	450257280	0.061372757	0.138554	0	0	0	NaN	115704970	2.1436005E+09	0.29218554	0.053976927	0.2719513	241907400	0.75265914	29019604	0.09029021	0	0	50476656	0.15705067	0.13776088	135806600	0.7454476	12689709	0.06965429	0	0	33684980	0.18489814	0.07996721	1.3007282E+09	0.5526102	100648610	0.042760238	0	0	952412800	0.40462953	0.13887072	3.0641267E+09	0.68410134	307899360	0.06874205	0	0	1.1070277E+09	0.2471566	0	0	0.48463592	0.52667695	0	0	0	0	0	0	0.42184186	0.35810417	0	0	0	0	0.09352226	0.11521889
Q8_ExpectedScenario_neutral_optional_ers_0	Y2050	281938.34	91116.87	190821.47	1.239853E+10	3.044643E+09	812725760	194473070	694332800	1.3248929E+09	18223294	14578615	335163070	8672236	438816500	9.353887E+09	2.0775853E+09	126533256	0	725749570	687674560	395206600	5.302976E+09	38164330	24212750	669300100	3211986.8	35.747326	1.7223018E+09	7.9311135E+09	0.8215863	2.1069949E+10	1.0672566E+11	0.8351278	0	221080380	4.455202E+09	0.6155535	0.04962298	65715010	606494400	0.083796374	0.10835221	0	0	0	NaN	108411220	2.1760202E+09	0.30065012	0.049820866	0.21988991	275737180	0.7683834	29089942	0.081063524	0	0	54026530	0.15055309	0.17028596	133262290	0.72302943	11400279	0.06185349	0	0	39648450	0.2151171	0.08773419	1.3353609E+09	0.5486374	103315820	0.042447645	0	0	995282100	0.40891492	0.22086762	2.71084E+09	0.63625854	462688260	0.10859709	0	0	1.087067E+09	0.2551444	0	0	0.4811593	0.52359617	0	0	0	0	0	0	0.3662561	0.33574423	0	0	0	0	0.15258466	0.14065957
Q8_ExpectedScenario_pro-dynamic_optional_ers_0	Y2020	5102750.5	5102750.5	0	9.570548E+09	9.570548E+09	2.4459538E+09	554802750	1.7272383E+09	3.822008E+09	1.0205443E+09	510272200	690889660	1.5627419E+09	82249240	0	0	0	0	0	0	0	0	0	0	0	0	0	5.567848E+09	0	0	7.055176E+10	0	0	0	0	0	0	NaN	0	0	0	NaN	0	0	0	NaN	0	0	0	NaN	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q8_ExpectedScenario_pro-dynamic_optional_ers_0	Y2025	4233088	3696167	536920.8	1.0058086E+10	7.461535E+09	1.8167523E+09	399786600	1.4314518E+09	3.0743416E+09	739231100	406578300	539911600	1.1242637E+09	124919160	2.5965507E+09	545785500	191464050	0	238897120	215170830	117793380	1.1800559E+09	107384150	40672670	203377120	1690936.6	28.96974	4.2844214E+09	1.9245105E+09	0.30995837	5.7032917E+10	2.1030588E+10	0.2694036	0	46731508	888537860	0.3967376	0.052593715	0	0	0	NaN	0	0	0	NaN	71061864	1.351073E+09	0.6032624	0.052596614	0.76501477	40250250	0.45454866	0	0	0	0	48299668	0.5454513	0.5864723	40637124	0.5505488	0	0	0	0	33174908	0.4494512	0.52556646	200208220	0.18387869	0	0	0	0	888597800	0.81612134	0.77843016	607442940	0.6145452	0	0	0	0	381000100	0.3854548	0	0	0.30338883	0.30347803	0	0	0	0	0	0	0.19609216	0.16387726	0	0	0	0	0.50051904	0.5326447
Q8_ExpectedScenario_pro-dynamic_optional_ers_0	Y2030	2449977.2	1960949.1	489028.06	1.0423101E+10	6.540085E+09	1.5277481E+09	322221540	1.6236735E+09	2.6742602E+09	392189570	235314540	488058180	540036160	540036160	3.8830164E+09	773753800	171128830	0	306631500	326874500	214874460	1.9919498E+09	97805860	44074780	306524060	1868345.6	30.819935	3.77302E+09	3.0536348E+09	0.44731057	5.1039298E+10	3.5357745E+10	0.40924716	0	84405736	1.3061347E+09	0.39483702	0.06462254	27137104	309132670	0.09344904	0.087784655	0	0	0	NaN	103331624	1.6927675E+09	0.5117139	0.06104301	0.52221364	113015320	0.6090343	14220583	0.076634064	0	0	58328880	0.31433162	0.47779816	65496156	0.660739	4218304.5	0.042555142	0	0	29411150	0.29670587	0.46295744	178048780	0.14125764	71022300	0.0563466	0	0	1.0113831E+09	0.8023958	0.6208137	949574400	0.5386465	219671280	0.124608636	0	0	593644100	0.33674487	0	0	0.3074638	0.27066985	0	0	0	0	0	0	0.24608961	0.2573608	0	0	0	0	0.4464466	0.47196937
