year	segment_id	latitude	longitude	is_in_sweden	placement	kW_installed	kW_used	kW_unused	kWPerRoadKm_installed	kWPerRoadKm_used	kWPerRoadKm_unused	kWh_per_year	euro_per_kWh	soc_on_arrival	lane_km
2025-01-01	2585930	58.606288	11.487546	True	Depot	87.82881	87.82881	0	0	0	0	26218.197	0.1094218	0.49999997	0
2025-01-01	2909778	55.576116	12.930511	True	Destination	141.93018	141.93018	0	0	0	0	25919.938	0.19457105	0.6749552	0
2025-01-01	3890986	59.731207	17.305523	True	Depot	51.93611	51.93611	0	0	0	0	31672.918	0.118456244	0.5	0
2025-01-01	3017842	56.8411	13.432204	True	Depot	85.09745	85.09745	0	0	0	0	102186.89	0.10984138	0.5	0
2025-01-01	2855800	56.01589	12.709948	True	Depot	149.30219	149.30219	0	0	0	0	580332.25	0.05201963	0.5	0
2025-01-01	4016960	59.208711	17.850731	True	Depot	306.055	306.055	0	0	0	0	1189624.1	0.050050296	0.5	0
2025-01-01	3684074	61.483114	16.364843	True	Depot	94.65528	94.65528	0	0	0	0	367921.66	0.054239497	0.5	0
2025-01-01	2945790	55.802943	13.101052	True	Depot	17.814014	17.814014	0	0	0	0	13810.378	0.16080171	0.5	0
2025-01-01	3206802	56.040052	14.273432	True	Depot	134.69478	134.69478	0	0	0	0	523553.62	0.05243663	0.49999997	0
2025-01-01	2540936	58.721295	11.304283	True	Depot	56.606396	56.606396	0	0	0	0	112704.445	0.09968352	0.5	0
2025-01-01	2621911	58.231925	11.649834	True	Depot	283.38342	283.38342	0	0	0	0	1101500.6	0.05020036	0.5	0
2025-01-01	3701980	59.605275	16.451541	True	RestStop	14687.004	14687.004	0	0	0	0	55518400	0.054791156	0.19610974	0
2025-01-01	3845933	58.666254	17.107439	True	Depot	2704.1338	2704.1338	0	0	0	0	10510870	0.04838684	0.5	0
2025-01-01	3404952	59.059781	15.132025	True	Depot	90.4185	90.4185	0	0	0	0	173468.56	0.10904738	0.5	0
2025-01-01	2720883	57.675442	12.093678	True	Depot	2359.4387	2359.4387	0	0	0	0	9171052	0.048417855	0.5	0
2025-01-01	3485924	58.490262	15.497141	True	Depot	160.76302	160.76302	0	0	0	0	624880	0.051745508	0.5	0
2025-01-01	2693928	58.575208	11.993555	True	Depot	82.334015	82.334015	0	0	0	0	71217.555	0.11029424	0.5	0
2025-01-01	4548393	67.864611	20.221231	True	Depot	117.92052	117.92052	0	0	0	0	458352.75	0.053042904	0.5	0
2025-01-01	2657885	57.712358	11.831075	True	Depot	2892.2	2892.2	0	0	0	0	11241876	0.048373032	0.5	0
2025-01-01	2828896	57.92791	12.561168	True	Destination	465.77228	465.77228	0	0	0	0	771707.6	0.12318278	0.41686508	0
2025-01-01	4205986	59.737381	18.686572	True	Depot	290.43845	290.43845	0	0	0	0	1128923.6	0.050151143	0.5	0
2025-01-01	3684067	61.34174	16.395459	True	Destination	1631.883	1631.883	0	0	0	0	3836358.5	0.09307147	0.43081906	0
2025-01-01	4962281	65.621606	22.058182	True	RestStop	746.6679	746.6679	0	0	0	0	2376463.5	0.06314116	0.45989317	0
2025-01-01	3215976	59.530014	14.284101	True	Depot	73.87934	73.87934	0	0	0	0	10503.914	0.11189011	0.5	0
2025-01-01	3503807	56.157458	15.578525	True	Depot	50.53111	50.53111	0	0	0	0	35493.758	0.11907093	0.5	0
2025-01-01	3251839	56.797181	14.46048	True	Depot	448.33316	448.33316	0	0	0	0	1742654.6	0.049455017	0.5	0
2025-01-01	3251927	58.55076	14.479125	True	Depot	95.08979	95.08979	0	0	0	0	49917.82	0.10842357	0.5	0
2025-01-01	3440837	56.747065	15.281003	True	Depot	86.3104	86.3104	0	0	0	0	58650.39	0.10965177	0.5	0
2025-01-01	2720863	57.267331	12.107704	True	Depot	458.29477	458.29477	0	0	0	0	1781374.9	0.04942719	0.5	0
2025-01-01	4701354	67.084843	20.901654	True	Depot	72.222275	72.222275	0	0	0	0	233.26782	0.11224668	0.5	0
2025-01-01	3783031	60.628635	16.819693	True	Depot	481.13644	481.13644	0	0	0	0	1870159.4	0.049367722	0.5	0
2025-01-01	3908938	58.765716	17.3787	True	Depot	66.97261	66.97261	0	0	0	0	151953.53	0.08660772	0.50000006	0
2025-01-01	3377948	58.975281	15.03869	True	Destination	1044.4108	1044.4108	0	0	0	0	2455282.5	0.09329728	0.25996	0
2025-01-01	3513030	60.602014	15.632385	True	Depot	334.61258	334.61258	0	0	0	0	1300627	0.049890198	0.5	0
2025-01-01	4206165	63.315393	18.695877	True	Depot	554.54865	554.54865	0	0	0	0	2155510.2	0.049209762	0.5	0
2025-01-01	2765919	58.384698	12.30356	True	Depot	102.65441	102.65441	0	0	0	0	43387.016	0.107533805	0.5	0
2025-01-01	3855254	65.088922	17.133048	True	Depot	171.10658	171.10658	0	0	0	0	665085	0.051529646	0.5	0
2025-01-01	2873798	55.968846	12.792835	True	RestStop	795.8385	795.8385	0	0	0	0	3008354	0.055528913	0.19328322	0
2025-01-01	3756104	62.099791	16.717235	True	Destination	180.87544	180.87544	0	0	0	0	4897.8965	0.1925835	0.75339025	0
2025-01-01	3170935	58.704888	14.110447	True	Depot	249.63956	249.63956	0	0	0	0	970339.5	0.050474193	0.5	0
2025-01-01	3557935	58.706136	15.809159	True	Depot	278.28217	278.28217	0	0	0	0	1081672.4	0.05023749	0.5	0
2025-01-01	3854982	59.646649	17.130675	True	RestStop	872.35895	872.35895	0	0	0	0	3297609	0.055460498	0.49163595	0
2025-01-01	3657026	60.539343	16.270891	True	Depot	24.217035	24.217035	0	0	0	0	18804.064	0.14376035	0.5	0
2025-01-01	2972775	55.507915	13.224155	True	Depot	103.73565	103.73565	0	0	0	0	403216.88	0.053708594	0.5	0
2025-01-01	3305881	57.635614	14.685482	True	Depot	266.27322	266.27322	0	0	0	0	1034994.1	0.05033053	0.5	0
2025-01-01	2765855	57.119162	12.292297	True	Destination	459.1726	459.1726	0	0	0	0	623219.94	0.14497782	0.40129644	0
2025-01-01	3342153	63.07002	14.857384	True	Destination	359.3425	359.3425	0	0	0	0	925.69745	0.1889861	0.17887713	0
2025-01-01	2855802	56.04342	12.692602	True	Destination	4544.3086	4544.3086	0	0	0	0	10683115	0.09281423	0.4768972	0
2025-01-01	3350867	57.353123	14.897103	True	Depot	63.778328	63.778328	0	0	0	0	58935.438	0.114351444	0.5	0
2025-01-01	2684885	57.701004	11.946847	True	Destination	1891.84	1891.84	0	0	0	0	4447485.5	0.09301633	0.30485156	0
2025-01-01	3017968	59.362628	13.435021	True	Depot	390.2761	390.2761	0	0	0	0	1516988.6	0.04964551	0.5	0
2025-01-01	3828032	60.650745	17.024915	True	Depot	190.70334	190.70334	0	0	0	0	741256.9	0.051184874	0.5	0
2025-01-01	3548935	58.70958	15.760468	True	Depot	559.088	559.088	0	0	0	0	2173154	0.04920137	0.5	0
2025-01-01	3125778	55.560417	13.912745	True	Depot	61.826466	61.826466	0	0	0	0	42018.527	0.11491979	0.5	0
2025-01-01	3873019	60.390753	17.238754	True	Destination	831.4388	831.4388	0	0	0	0	1954611.2	0.09345794	0.29563218	0
2025-01-01	3738035	60.712086	16.601036	True	Depot	25.96781	25.96781	0	0	0	0	18637.016	0.14056385	0.5	0
