scenario_name	year	co2_ton_per_y	icev_co2_ton_per_y	bev_co2_ton_per_y	all_total_€_per_y	icev_total_€_per_y	icev_vehicles_€_per_y	icev_interest_€_per_y	icev_fuel_€_per_y	icev_driver_€_per_y	icev_co2t_€_per_y	icev_co2i_€_per_y	icev_roadnpoltax_€_per_y	icev_fossil_fuel_liter_per_y	icev_renewable_fuel_liter_per_y	bev_total_€_per_y	bev_vehicles_€_per_y	bev_batteries_€_per_y	bev_pickup_€_per_y	bev_interest_€_per_y	bev_electricity_€_per_y	bev_infrastructure_€_per_y	bev_driver_€_per_y	bev_co2t_€_per_y	bev_co2i_€_per_y	bev_roadnpoltax_€_per_y	bat_kWhWear_per_y	bat_kWhWear_per_kWh	icev_km_per_y	bev_km_per_y	bev_km_ratio	icev_tonkm_per_y	bev_tonkm_per_y	bev_tonkm_ratio	ers_km	Depot_€_per_y	Depot_kWh	Depot_kWh_ratio	Depot_€_per_kWh	Destination_€_per_y	Destination_kWh	Destination_kWh_ratio	Destination_€_per_kWh	Road_€_per_y	Road_kWh	Road_kWh_ratio	Road_€_per_kWh	RestStop_€_per_y	RestStop_kWh	RestStop_kWh_ratio	RestStop_€_per_kWh	MGV16_icev_ratio	MGV16_Depot_kWh	MGV16_Depot_ratio	MGV16_Destination_kWh	MGV16_Destination_ratio	MGV16_Road_kWh	MGV16_Road_ratio	MGV16_RestStop_kWh	MGV16_RestStop_ratio	MGV24_icev_ratio	MGV24_Depot_kWh	MGV24_Depot_ratio	MGV24_Destination_kWh	MGV24_Destination_ratio	MGV24_Road_kWh	MGV24_Road_ratio	MGV24_RestStop_kWh	MGV24_RestStop_ratio	HGV40_icev_ratio	HGV40_Depot_kWh	HGV40_Depot_ratio	HGV40_Destination_kWh	HGV40_Destination_ratio	HGV40_Road_kWh	HGV40_Road_ratio	HGV40_RestStop_kWh	HGV40_RestStop_ratio	HGV60_icev_ratio	HGV60_Depot_kWh	HGV60_Depot_ratio	HGV60_Destination_kWh	HGV60_Destination_ratio	HGV60_Road_kWh	HGV60_Road_ratio	HGV60_RestStop_kWh	HGV60_RestStop_ratio	NA_Diesel_km_ratio	NA_Diesel_routes_ratio	Depot_km_ratio	Depot_routes_ratio	Ers_km_ratio	Ers_routes_ratio	DepotAndErsPropulsion_km_ratio	DepotAndErsPropulsion_routes_ratio	DepotAndErsCharging_km_ratio	DepotAndErsCharging_routes_ratio	AllPlannedStops_km_ratio	AllPlannedStops_routes_ratio	AllPlannedStopsAndErs_km_ratio	AllPlannedStopsAndErs_routes_ratio	AllPlannedAndExtraChargingStops_km_ratio	AllPlannedAndExtraChargingStops_routes_ratio	PublicStaticCharging_km_ratio	PublicStaticCharging_routes_ratio	
Q1_AllDiesel	Y2020	5102736	5102736	0	9.570553E+09	9.570553E+09	2.4459474E+09	554803800	1.7272384E+09	3.8220127E+09	1.02055085E+09	510275420	690883300	1.562751E+09	82249320	0	0	0	0	0	0	0	0	0	0	0	0	0	5.5678367E+09	0	0	7.055204E+10	0	0	0	0	0	0	NaN	0	0	0	NaN	0	0	0	NaN	0	0	0	NaN	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q1_AllDiesel	Y2025	5240841	5240841	0	1.0636013E+10	1.0636013E+10	2.7183544E+09	620051140	2.0296896E+09	4.2198008E+09	1.0481685E+09	576490300	765547500	1.5941193E+09	177123580	0	0	0	0	0	0	0	0	0	0	0	0	0	6.1474053E+09	0	0	7.789459E+10	0	0	0	0	0	0	NaN	0	0	0	NaN	0	0	0	NaN	0	0	0	NaN	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q1_AllDiesel	Y2030	3462667	3462667	0	1.1933884E+10	1.1933884E+10	3.0219272E+09	693297000	2.8670802E+09	4.659024E+09	692533200	415519330	861812860	953599000	953599000	0	0	0	0	0	0	0	0	0	0	0	0	0	6.7871473E+09	0	0	8.600171E+10	0	0	0	0	0	0	NaN	0	0	0	NaN	0	0	0	NaN	0	0	0	NaN	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q1_AllDiesel	Y2035	1967593.5	1967593.5	0	1.3092768E+10	1.3092768E+10	3.3604518E+09	775567800	3.4192988E+09	5.143917E+09	393518660	255786900	993000400	455590850	1.5979962E+09	0	0	0	0	0	0	0	0	0	0	0	0	0	7.493599E+09	0	0	9.495286E+10	0	0	0	0	0	0	NaN	0	0	0	NaN	0	0	0	NaN	0	0	0	NaN	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q1_AllDiesel	Y2040	1181873.5	1181873.5	0	1.4216508E+10	1.4216508E+10	3.7380173E+09	868022460	3.6946936E+09	5.6793037E+09	236374980	165462620	1.1819954E+09	217663410	1.9935405E+09	0	0	0	0	0	0	0	0	0	0	0	0	0	8.2735493E+09	0	0	1.0483608E+11	0	0	0	0	0	0	NaN	0	0	0	NaN	0	0	0	NaN	0	0	0	NaN	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q1_AllDiesel	Y2045	759058.9	759058.9	0	1.5411592E+10	1.5411592E+10	4.159397E+09	971972740	3.8580047E+09	6.2704353E+09	151812850	113858824	1.4682953E+09	103991130	2.2769272E+09	0	0	0	0	0	0	0	0	0	0	0	0	0	9.134664E+09	0	0	1.157469E+11	0	0	0	0	0	0	NaN	0	0	0	NaN	0	0	0	NaN	0	0	0	NaN	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q1_AllDiesel	Y2050	522010.22	522010.22	0	1.6723928E+10	1.6723928E+10	4.629796E+09	1.088934E+09	3.9778127E+09	6.923097E+09	104400960	83520950	1.9201551E+09	49683210	2.5139702E+09	0	0	0	0	0	0	0	0	0	0	0	0	0	1.008538E+10	0	0	1.2779527E+11	0	0	0	0	0	0	NaN	0	0	0	NaN	0	0	0	NaN	0	0	0	NaN	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q1_AllInfraExceptErs	Y2020	2715339.8	680367.06	2034972.8	8.720953E+09	1.2000344E+09	336374180	72753256	230298910	424534340	136074050	68037020	92119590	208365600	10966612	7.520919E+09	1.6246397E+09	544436800	0	624352100	577822000	410019420	3.3326216E+09	406991460	150326130	544959600	3544701	36.53929	821102300	4.679293E+09	0.85071945	8.595374E+09	6.195722E+10	0.87817067	0	156898290	3.0066115E+09	0.5132647	0.052184425	182002430	1.6573157E+09	0.2829237	0.1098176	0	0	0	NaN	71118710	1.1938913E+09	0.20381159	0.059568834	0.1778606	211850050	0.74932253	60654704	0.21453823	0	0	10217375	0.036139283	0.004974453	92506450	0.55803055	50164772	0.30261108	0	0	23101866	0.13935836	0.31960535	595626600	0.41269284	423358080	0.29333284	0	0	424283900	0.2939743	0.051625464	2.1066152E+09	0.53116333	1.1231366E+09	0.28318843	0	0	736288260	0.18564822	0	0	0.24222128	0.2243652	0	0	0	0	0	0	0.7576408	0.7751194	0	0	0	0	0.00013793065	0.00051537197
Q1_AllInfraExceptErs	Y2025	1572153.1	7141.1777	1565012	8.638193E+09	15030173	4471501	973966.56	2765654.2	5390807.5	1428234.8	785529.3	1043140.56	2172153.2	241350.38	8.623162E+09	1.8567209E+09	455757660	0	730590300	693079300	466973250	4.1070254E+09	312999650	130882800	654452700	3794868.2	46.890297	10610266	6.00635E+09	0.9982366	65821716	7.7828735E+10	0.999155	0	181254130	3.6134618E+09	0.5125736	0.0501608	197293100	1.8674038E+09	0.26489332	0.10565101	0	0	0	NaN	88426020	1.5687791E+09	0.22253308	0.056366134	0.006378438	243077540	0.6755234	84131600	0.2338055	0	0	32626692	0.09067105	0	100143800	0.57901764	48235404	0.27889046	0	0	24575448	0.14209186	0.0018470819	860338940	0.3964811	606183740	0.27935547	0	0	703414340	0.3241635	0.000671613	2.409898E+09	0.5543934	1.128851E+09	0.25969046	0	0	808161000	0.18591622	0	0	0.2446767	0.23497616	0	0	0	0	0	0	0.75320256	0.76145226	0	0	0	0	0.0021207298	0.0035715995
Q1_AllInfraExceptErs	Y2030	1030351.8	2488.0696	1027863.75	8.792185E+09	7556564.5	2063149.1	484252.75	2060125.5	2451423.2	497613.84	298568.3	619250.06	685200.7	685200.7	8.784629E+09	1.8676434E+09	312065860	0	729485440	717540400	461512540	4.490776E+09	205572340	97699760	679459200	3279582.5	39.706764	4563249.5	6.5601976E+09	0.99930483	60026660	8.5941944E+10	0.9993021	0	185755090	3.836143E+09	0.5242196	0.048422355	188119020	1.8547629E+09	0.25345847	0.101424836	0	0	0	NaN	87638440	1.6269116E+09	0.22232197	0.053867977	0.00025719096	249839440	0.6612471	92440000	0.24465986	0	0	35551250	0.09409307	0	106650640	0.59285486	47981690	0.26672298	0	0	25261016	0.14042218	0.0007067182	893433900	0.39949822	605509900	0.27075323	0	0	737446400	0.32974854	0.0008509257	2.5862147E+09	0.5717037	1.1088312E+09	0.24511613	0	0	828651840	0.1831802	0	0	0.27103603	0.27071473	0	0	0	0	0	0	0.7242802	0.7217426	0	0	0	0	0.0046837903	0.0075426945
Q1_AllInfraExceptErs	Y2035	691092.56	368.1136	690724.44	9.156008E+09	2231948	622562.9	148184.47	639715.5	747862.6	73622.71	47854.766	185778.98	85236.25	298965.8	9.153776E+09	1.9146254E+09	236069860	0	751408260	738930750	446076400	4.928504E+09	138145200	72762770	708728200	3050655	33.679386	1340033.9	7.194254E+09	0.9998138	15189365	9.493719E+10	0.99984	0	205229760	4.4006636E+09	0.57659703	0.046636093	154428160	1.555375E+09	0.20379303	0.09928677	0	0	0	NaN	86418490	1.6760916E+09	0.21960995	0.051559523	0.00022505877	270436740	0.685384	86903130	0.22024378	0	0	37237140	0.0943723	0	114017680	0.6081618	47502144	0.2533729	0	0	25959358	0.13846529	7.884279E-05	966412500	0.41586825	599845500	0.25812653	0	0	757584900	0.32600522	0.0002526722	3.0497956E+09	0.6452914	821124900	0.17373782	0	0	855309440	0.18097076	0	0	0.35475597	0.3220055	0	0	0	0	0	0	0.63941824	0.66977525	0	0	0	0	0.0058257985	0.008219264
Q1_AllInfraExceptErs	Y2040	474585.94	121.35598	474464.6	9.775839E+09	1354865.8	382483.3	90855.555	379375.94	477879.5	24271.191	16989.832	121368.57	22349.977	204698.14	9.774484E+09	2.0928434E+09	193597120	0	780196200	764515260	436119870	5.412347E+09	94892150	53902204	739697300	3160154.2	32.990047	826539	7.895707E+09	0.99989533	2973619.8	1.0483331E+11	0.9999716	0	219829810	4.8808105E+09	0.6127783	0.045039613	130342530	1.3454359E+09	0.16891743	0.096877545	0	0	0	NaN	85947520	1.7388045E+09	0.21830425	0.04942909	0.00012976333	287685100	0.69745463	85542580	0.20738672	0	0	39250900	0.095158644	0	122123510	0.6240326	46510416	0.23766117	0	0	27066596	0.1383062	6.414529E-05	1.07094406E+09	0.4424856	571106050	0.23596583	0	0	778241150	0.32154855	0.00012954824	3.4000494E+09	0.6887469	642276100	0.13010566	0	0	894247230	0.18114738	0	0	0.4118649	0.37920353	0	0	0	0	0	0	0.58203954	0.61183625	0	0	0	0	0.0060955924	0.008960177
Q1_AllInfraExceptErs	Y2045	325158.8	31.756105	325127.06	1.0503675E+10	613677	178666.84	41841.65	161402.83	225414.5	6351.2207	4763.415	61427.69	4350.5894	95257.45	1.0503062E+10	2.2904868E+09	158338540	0	816523970	794304830	429831650	5.948574E+09	65025700	39757930	772621250	3220285.8	33.60059	393088.28	8.673848E+09	0.99995464	2299246.8	1.15745E+11	0.9999801	0	230218450	5.283396E+09	0.6350753	0.043573953	113546170	1.2207708E+09	0.14673921	0.09301186	0	0	0	NaN	86067040	1.8151557E+09	0.21818551	0.04741579	7.174354E-05	319651330	0.7400766	71287736	0.16504979	0	0	40977480	0.09487361	0	140945420	0.68840903	35845684	0.17507835	0	0	27949712	0.13651265	4.2035084E-05	1.21125E+09	0.479618	514249500	0.2036271	0	0	799947840	0.3167549	4.3816657E-05	3.6115325E+09	0.7002896	599386700	0.11622331	0	0	946279200	0.18348706	0	0	0.4583169	0.4570449	0	0	0	0	0	0	0.53527504	0.5336483	0	0	0	0	0.0064080665	0.009306809
