scenario_name	year	co2_ton_per_y	icev_co2_ton_per_y	bev_co2_ton_per_y	all_total_€_per_y	icev_total_€_per_y	icev_vehicles_€_per_y	icev_interest_€_per_y	icev_fuel_€_per_y	icev_driver_€_per_y	icev_co2t_€_per_y	icev_co2i_€_per_y	icev_roadnpoltax_€_per_y	icev_fossil_fuel_liter_per_y	icev_renewable_fuel_liter_per_y	bev_total_€_per_y	bev_vehicles_€_per_y	bev_batteries_€_per_y	bev_pickup_€_per_y	bev_interest_€_per_y	bev_electricity_€_per_y	bev_infrastructure_€_per_y	bev_driver_€_per_y	bev_co2t_€_per_y	bev_co2i_€_per_y	bev_roadnpoltax_€_per_y	bat_kWhWear_per_y	bat_kWhWear_per_kWh	icev_km_per_y	bev_km_per_y	bev_km_ratio	icev_tonkm_per_y	bev_tonkm_per_y	bev_tonkm_ratio	ers_km	Depot_€_per_y	Depot_kWh	Depot_kWh_ratio	Depot_€_per_kWh	Destination_€_per_y	Destination_kWh	Destination_kWh_ratio	Destination_€_per_kWh	Road_€_per_y	Road_kWh	Road_kWh_ratio	Road_€_per_kWh	RestStop_€_per_y	RestStop_kWh	RestStop_kWh_ratio	RestStop_€_per_kWh	MGV16_icev_ratio	MGV16_Depot_kWh	MGV16_Depot_ratio	MGV16_Destination_kWh	MGV16_Destination_ratio	MGV16_Road_kWh	MGV16_Road_ratio	MGV16_RestStop_kWh	MGV16_RestStop_ratio	MGV24_icev_ratio	MGV24_Depot_kWh	MGV24_Depot_ratio	MGV24_Destination_kWh	MGV24_Destination_ratio	MGV24_Road_kWh	MGV24_Road_ratio	MGV24_RestStop_kWh	MGV24_RestStop_ratio	HGV40_icev_ratio	HGV40_Depot_kWh	HGV40_Depot_ratio	HGV40_Destination_kWh	HGV40_Destination_ratio	HGV40_Road_kWh	HGV40_Road_ratio	HGV40_RestStop_kWh	HGV40_RestStop_ratio	HGV60_icev_ratio	HGV60_Depot_kWh	HGV60_Depot_ratio	HGV60_Destination_kWh	HGV60_Destination_ratio	HGV60_Road_kWh	HGV60_Road_ratio	HGV60_RestStop_kWh	HGV60_RestStop_ratio	NA_Diesel_km_ratio	NA_Diesel_routes_ratio	Depot_km_ratio	Depot_routes_ratio	Ers_km_ratio	Ers_routes_ratio	DepotAndErsPropulsion_km_ratio	DepotAndErsPropulsion_routes_ratio	DepotAndErsCharging_km_ratio	DepotAndErsCharging_routes_ratio	AllPlannedStops_km_ratio	AllPlannedStops_routes_ratio	AllPlannedStopsAndErs_km_ratio	AllPlannedStopsAndErs_routes_ratio	AllPlannedAndExtraChargingStops_km_ratio	AllPlannedAndExtraChargingStops_routes_ratio	PublicStaticCharging_km_ratio	PublicStaticCharging_routes_ratio	
matrix_00_75_00_25_100_0.25	Y2035	1071369.2	478201	593168.2	1.0631693E+10	3.2432796E+09	830530100	192916060	831028030	1.2931569E+09	95640350	62165984	241337810	110726700	388375330	7.3884145E+09	1.4749245E+09	266958320	0	645518800	649450700	469147970	3.7637998E+09	118633656	56373710	549091260	3714717	47.72394	1.8324668E+09	5.5562967E+09	0.75199276	2.3620442E+10	7.133471E+10	0.75124633	0	0	0	0	NaN	377117600	4.111741E+09	0.6936311	0.09171726	0	0	0	NaN	92030380	1.8161084E+09	0.30636886	0.050674498	0.33985755	0	0	205566370	0.7659719	0	0	62806880	0.2340281	0.20280278	0	0	113829256	0.7318934	0	0	41697836	0.26810658	0.17793809	0	0	997579700	0.5032226	0	0	984802940	0.49677745	0.26959574	0	0	2.7947617E+09	0.7936134	0	0	726804000	0.2063866	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
matrix_25_75_25_00_300_0.25	Y2035	1003333.06	458037.62	545295.44	1.0349189E+10	3.0927322E+09	792887400	183216290	795987650	1.2290295E+09	91607510	59544720	231162220	106058216	371997500	7.256456E+09	1.4761492E+09	195307100	54967972	593761660	626559100	421886460	3.778761E+09	109059600	56331380	548681500	2607487.5	29.946371	1.7642286E+09	5.5465093E+09	0.7586798	2.3421528E+10	7.1533355E+10	0.7533405	447.47232	46315104	987591800	0.16704199	0.046897013	299864260	3.2476275E+09	0.54930604	0.092333324	75707120	1.677018E+09	0.283652	0.04514389	0	0	0	NaN	0.30400905	41179610	0.14694658	123615870	0.44111466	115439750	0.41193876	0	0	0.1945224	41596612	0.26936722	58569044	0.37927562	54257784	0.3513572	0	0	0.21604317	227952290	0.12269243	896091600	0.4823099	733872700	0.39499766	0	0	0.24367017	676861630	0.1869957	2.1693555E+09	0.59932506	773447000	0.21367921	0	0	0	0	0	0	0.09187107	0.18260007	0	0	0.16495486	0.17105968	0	0	0.7431741	0.64634025	0	0	0	0
matrix_25_75_75_25_100_1	Y2035	721339.1	111919.26	609419.9	9.666749E+09	967758100	221740600	49609210	194495550	479528900	22383864	14549486	56483280	25914732	90895840	8.698991E+09	1.781683E+09	139370900	37703816	656075100	754090430	753688200	4.45448E+09	121883960	68423030	666449340	1934884.6	22.115786	500866980	6.6702694E+09	0.93015516	4.7937976E+09	9.0159464E+10	0.94951415	4791.8965	32466404	684573200	0.095522456	0.04742576	159366800	1.7194902E+09	0.23993042	0.092682585	537029100	4.2795325E+09	0.59714794	0.1254878	24825874	483024200	0.06739916	0.05139675	0.21038328	32036592	0.101185896	66673944	0.21058616	213746930	0.6751085	4153781	0.0131195	0.12404797	29144888	0.17396757	24575996	0.14669558	107749016	0.6431603	6060668.5	0.03617649	0.035664763	141089970	0.064027436	282677000	0.12828045	1.6514369E+09	0.74943155	128382030	0.058260504	0.04935463	482301570	0.107683405	1.3455663E+09	0.3004244	2.3065892E+09	0.5149918	344427870	0.07690036	0	0	0	0	0.13635582	0.2175599	0	0	0.13223444	0.15415466	0	0	0.7314097	0.62828547	0	0	0	0
matrix_75_25_75_25_300_0.25	Y2035	755777.9	159730.36	596047.5	9.416321E+09	1.213973E+09	284136640	65585876	277582720	554721860	31946078	20764936	80612480	36985360	129725930	8.2023475E+09	1.7454694E+09	156154510	86299550	646018200	688554750	374730300	4.3858847E+09	119209830	66567544	648379460	1955771.2	22.837706	628023800	6.557271E+09	0.912596	7.564927E+09	8.738903E+10	0.9203306	1257.3307	131060660	2.7959232E+09	0.40067136	0.04687563	26706000	268597250	0.03849148	0.09942768	183833840	3.2682104E+09	0.46835274	0.056249082	33129822	645365500	0.09248447	0.051334973	0.14606233	166242610	0.48835933	7755060.5	0.0227815	160678980	0.47201544	5733785.5	0.016843742	0.100775845	79809410	0.46289822	2933195.2	0.017012667	83238720	0.48278838	6431115.5	0.037300766	0.055227008	633954750	0.29203796	45241012	0.02084075	1.2354268E+09	0.5691124	256173250	0.11800891	0.09002681	1.9159135E+09	0.44613492	212668020	0.049521353	1.7888618E+09	0.41654998	377027650	0.08779374	0	0	0	0	0.05020143	0.11758056	0	0	0.503711	0.52458245	0	0	0.44608757	0.35783702	0	0	0	0
matrix_75_75_00_00_100_0.25	Y2035	925988.56	314118.12	611870.44	9.96463E+09	2.0465754E+09	531807870	122581210	545879900	783476100	62823524	40835308	158528160	72733670	255113010	7.918055E+09	1.6257637E+09	239396560	0	669198340	630680450	420158850	4.2104507E+09	122374040	61653970	600521400	3204342.5	37.897095	1.1934721E+09	6.1088364E+09	0.8365624	1.5369796E+10	7.958419E+10	0.8381343	0	184811820	3.9728466E+09	0.6148825	0.046518743	235347040	2.4883005E+09	0.38511744	0.09458144	0	0	0	NaN	0	0	0	NaN	0.14044479	220188420	0.6436415	121909500	0.3563585	0	0	0	0	0.11560137	102594420	0.6046853	67071372	0.39531463	0	0	0	0	0.19001503	1.0332521E+09	0.5361684	893851650	0.4638316	0	0	0	0	0.15707251	2.6168074E+09	0.650579	1.4054674E+09	0.34942102	0	0	0	0	0	0	0	0	0	0	0	0	0.39580104	0.392107	0	0	0.60419893	0.607893	0	0	0	0
matrix_00_00_25_75_300_0.25	Y2035	1390206.4	1039226.3	350980.06	1.1424073E+10	7.373742E+09	1.7827884E+09	416988200	1.8059941E+09	3.1601206E+09	207845460	135100030	524475400	240632000	844016060	4.0503304E+09	916072960	140394510	46323516	380111840	385309400	178672910	1.9332607E+09	70196344	35007610	340985700	1902239.8	22.988579	3.8922985E+09	3.5104863E+09	0.47421157	5.143868E+10	4.351655E+10	0.45828494	430.0247	0	0	0	NaN	0	0	0	NaN	74407160	1.6941948E+09	0.45485166	0.043918893	104265750	2.0305245E+09	0.5451483	0.05134917	0.62558645	0	0	0	0	119500344	0.7711153	35470440	0.2288847	0.54207456	0	0	0	0	58325436	0.634503	33597590	0.36549702	0.31095976	0	0	0	0	777574140	0.4717496	870703040	0.52825034	0.6242478	0	0	0	0	738793150	0.40381205	1.0907538E+09	0.5961879	0	0	0	0	0.20391221	0.3944928	0	0	0	0	0	0	0.7960878	0.6055072	0	0	0	0
matrix_00_00_75_00_100_0.25	Y2035	1960020.1	1957159.5	2860.6719	1.3089647E+10	1.3009888E+10	3.3352458E+09	770791700	3.4011548E+09	5.1113487E+09	391430430	254428830	987730240	453175260	1.58951E+09	79758110	13163766	1070228	487953.06	4767753.5	3103126.2	25057262	31535888	572134.06	281937.9	2746148.5	16111.894	0.533309	7.434664E+09	57205616	0.007635693	9.4885994E+10	67460900	0.0007104628	258.43143	0	0	0	NaN	0	0	0	NaN	25057262	34724580	1	0.7216002	0	0	0	NaN	0.9793769	0	0	0	0	9616916	1	0	0	0.87244314	0	0	0	0	24763280	1	0	0	0.99990493	0	0	0	0	344392	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
matrix_00_00_75_00_700_0.25	Y2035	986300.7	508150.4	478150.28	1.0181592E+10	3.8981228E+09	888534000	206816050	883075840	1.818066E+09	101630370	66059600	256453840	117661800	412697400	6.28347E+09	1.4035951E+09	121060400	151198540	513911680	592114750	234699760	3.1711972E+09	95630120	53797492	524004000	1497815.4	20.861927	1.9479146E+09	5.291024E+09	0.73091155	2.48446E+10	7.010992E+10	0.73835266	1293.5106	0	0	0	NaN	0	0	0	NaN	234699760	5.6400415E+09	1	0.041613128	0	0	0	NaN	0.39462882	0	0	0	0	244996540	1	0	0	0.2736957	0	0	0	0	139541870	1	0	0	0.15387096	0	0	0	0	1.9395057E+09	1	0	0	0.30308652	0	0	0	0	3.316007E+09	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
matrix_00_25_75_75_700_0.5	Y2035	798987.06	237678.61	561308.44	9.712176E+09	1.9548884E+09	441262140	101033420	413043500	952013250	47535750	30898276	119951144	55034240	193032130	7.7572874E+09	1.6559418E+09	132578120	170414480	601340740	703790200	388733980	3.9922145E+09	112261960	63750570	620945300	1651441	20.868603	978056900	6.206392E+09	0.8638647	1.1456519E+10	8.3497206E+10	0.87934625	2424.963	0	0	0	NaN	27956278	299594900	0.044874076	0.0933136	353484700	6.2480906E+09	0.9358546	0.056574836	7292986.5	128661816	0.019271288	0.05668338	0.30951795	0	0	16488192	0.05919011	259007680	0.9297983	3067421.8	0.011011579	0.18465449	0	0	4648433.5	0.029854791	141153360	0.90656435	9899638	0.06358091	0.06363011	0	0	35106684	0.01642744	2.0333358E+09	0.9514571	68633190	0.03211547	0.12969461	0	0	243351700	0.059281845	3.814582E+09	0.9292537	47061508	0.011464449	0	0	0	0	0.80317	0.83646053	0	0	0	0	0	0	0.19683	0.16353948	0	0	0	0
matrix_75_25_75_00_300_0.5	Y2035	713695	117924.89	595770.1	9.336475E+09	942325200	215857920	49251900	204932270	448697760	23584942	15330239	59514144	27305334	95773304	8.3941494E+09	1.7787754E+09	135933420	90312290	644046100	709435460	447410240	4.4690806E+09	119154504	67899510	661354600	1710726.4	20.953949	481515500	6.6755164E+09	0.9327213	5.8369946E+09	8.911645E+10	0.9385278	2410.2598	112060000	2.3807593E+09	0.33473134	0.047069017	17071586	172268130	0.024220653	0.09909892	318278660	4.5594204E+09	0.64104795	0.06980682	0	0	0	NaN	0.13451362	158359800	0.45938528	6246748.5	0.018121166	180114580	0.5224936	0	0	0.09760204	76628024	0.44348598	2668857	0.015446055	93488790	0.54106796	0	0	0.044067062	522199700	0.23927577	19318066	0.00885168	1.6409001E+09	0.75187254	0	0	0.06114356	1.6235717E+09	0.36794648	144034560	0.032642234	2.644915E+09	0.59941125	0	0	0	0	0	0	0.14856996	0.24530926	0	0	0.8129087	0.7149623	0	0	0.038521364	0.03972841	0	0	0	0
