scenario_name	year	co2_ton_per_y	icev_co2_ton_per_y	bev_co2_ton_per_y	all_total_€_per_y	icev_total_€_per_y	icev_vehicles_€_per_y	icev_interest_€_per_y	icev_fuel_€_per_y	icev_driver_€_per_y	icev_co2t_€_per_y	icev_co2i_€_per_y	icev_roadnpoltax_€_per_y	icev_fossil_fuel_liter_per_y	icev_renewable_fuel_liter_per_y	bev_total_€_per_y	bev_vehicles_€_per_y	bev_batteries_€_per_y	bev_pickup_€_per_y	bev_interest_€_per_y	bev_electricity_€_per_y	bev_infrastructure_€_per_y	bev_driver_€_per_y	bev_co2t_€_per_y	bev_co2i_€_per_y	bev_roadnpoltax_€_per_y	bat_kWhWear_per_y	bat_kWhWear_per_kWh	icev_km_per_y	bev_km_per_y	bev_km_ratio	icev_tonkm_per_y	bev_tonkm_per_y	bev_tonkm_ratio	ers_km	Depot_€_per_y	Depot_kWh	Depot_kWh_ratio	Depot_€_per_kWh	Destination_€_per_y	Destination_kWh	Destination_kWh_ratio	Destination_€_per_kWh	Road_€_per_y	Road_kWh	Road_kWh_ratio	Road_€_per_kWh	RestStop_€_per_y	RestStop_kWh	RestStop_kWh_ratio	RestStop_€_per_kWh	MGV16_icev_ratio	MGV16_Depot_kWh	MGV16_Depot_ratio	MGV16_Destination_kWh	MGV16_Destination_ratio	MGV16_Road_kWh	MGV16_Road_ratio	MGV16_RestStop_kWh	MGV16_RestStop_ratio	MGV24_icev_ratio	MGV24_Depot_kWh	MGV24_Depot_ratio	MGV24_Destination_kWh	MGV24_Destination_ratio	MGV24_Road_kWh	MGV24_Road_ratio	MGV24_RestStop_kWh	MGV24_RestStop_ratio	HGV40_icev_ratio	HGV40_Depot_kWh	HGV40_Depot_ratio	HGV40_Destination_kWh	HGV40_Destination_ratio	HGV40_Road_kWh	HGV40_Road_ratio	HGV40_RestStop_kWh	HGV40_RestStop_ratio	HGV60_icev_ratio	HGV60_Depot_kWh	HGV60_Depot_ratio	HGV60_Destination_kWh	HGV60_Destination_ratio	HGV60_Road_kWh	HGV60_Road_ratio	HGV60_RestStop_kWh	HGV60_RestStop_ratio	NA_Diesel_km_ratio	NA_Diesel_routes_ratio	Depot_km_ratio	Depot_routes_ratio	Ers_km_ratio	Ers_routes_ratio	DepotAndErsPropulsion_km_ratio	DepotAndErsPropulsion_routes_ratio	DepotAndErsCharging_km_ratio	DepotAndErsCharging_routes_ratio	AllPlannedStops_km_ratio	AllPlannedStops_routes_ratio	AllPlannedStopsAndErs_km_ratio	AllPlannedStopsAndErs_routes_ratio	AllPlannedAndExtraChargingStops_km_ratio	AllPlannedAndExtraChargingStops_routes_ratio	PublicStaticCharging_km_ratio	PublicStaticCharging_routes_ratio	
matrix_00_75_00_25_100_0.25	Y2025	5023933	2126982.2	2896950.5	1.848245E+10	4.388247E+09	1.1360741E+09	260189570	857895600	1.7087E+09	425396480	233968060	317463040	643977100	90534620	1.4094202E+10	2.881978E+09	1.07158144E+09	0	1.366004E+09	1.208189E+09	753145000	6.233955E+09	579389800	318664960	1.0292045E+09	10376010	32.709564	2.556049E+09	9.345619E+09	0.7852361	3.0546422E+10	1.21151955E+11	0.79863715	0	0	0	0	NaN	532097120	6.396559E+09	0.57390314	0.083184905	0	0	0	NaN	221047890	4.749152E+09	0.42609683	0.046544705	0.28487775	0	0	341873470	0.7395933	0	0	120371740	0.26040667	0.18015243	0	0	194153250	0.7100589	0	0	79279310	0.28994098	0.17687622	0	0	1.3762619E+09	0.36784652	0	0	2.3651405E+09	0.63215345	0.22475013	0	0	4.4842665E+09	0.67244244	0	0	2.1843584E+09	0.32755753	0.21476394	0.2629015	0	0	0	0	0	0	0	0	0	0	0.7852361	0.7370985	0	0	0	0
matrix_25_75_25_00_300_0.25	Y2025	5165310.5	2952210.5	2213100	1.7886278E+10	5.651355E+09	1.4843018E+09	340713760	1.1264166E+09	2.1094872E+09	590442100	324743170	427888350	899465700	90534620	1.2234924E+10	2.5818268E+09	626564300	95771990	1.0269191E+09	1.0289767E+09	710087550	5.7221704E+09	442620900	243440980	907513700	5696622	17.32329	3.3561884E+09	8.3622113E+09	0.7135967	4.185946E+10	1.0983833E+11	0.7240602	430.59705	121167020	2.0062575E+09	0.20568597	0.06039455	438151420	5.245315E+09	0.53776133	0.08353195	150769120	2.5024108E+09	0.2565527	0.06024955	0	0	0	NaN	0.2197949	134410720	0.27053377	173381800	0.34897238	189042740	0.3804938	0	0	0.13647105	35019550	0.122173004	141248980	0.49277648	110370504	0.3850505	0	0	0.31043655	535380260	0.17872283	1.293107E+09	0.43167025	1.1671023E+09	0.3896069	0	0	0.2975449	1.3014469E+09	0.21781868	3.6375698E+09	0.6088075	1.0358926E+09	0.17337377	0	0	0.28640333	0.31772557	0	0	0.043484073	0.11534601	0	0	0.1327848	0.12125059	0	0	0.5373278	0.44567785	0	0	0	0
matrix_25_75_75_25_100_1	Y2025	3465368.5	877697.6	2587671	1.7048046E+10	2.1336132E+09	516704930	119477640	451390800	870502800	175539540	96546744	150295180	257201660	90534620	1.4914432E+10	3.2250606E+09	545493440	70328860	1.1789233E+09	1.2844178E+09	1.1861527E+09	6.9065866E+09	517531620	284643650	1.140597E+09	5199145	16.519215	1.1552315E+09	1.0448873E+10	0.9004463	1.5382883E+10	1.3631508E+11	0.8985953	3920.473	97384960	1.6093522E+09	0.13054459	0.060511902	264813260	3.158813E+09	0.25623098	0.08383316	764722050	6.2906373E+09	0.5102728	0.12156512	59232452	1.2691864E+09	0.102951616	0.04666962	0.062643945	115561620	0.19393036	100523740	0.16869447	372601150	0.62528265	7205836.5	0.012092514	0.067300394	29562680	0.096315235	64467424	0.2100349	205506110	0.66953903	7400497	0.024110824	0.09254699	409042240	0.10359975	478888670	0.121290036	2.6527004E+09	0.67186	407662270	0.10325024	0.11457804	1.0551856E+09	0.14112683	2.5149317E+09	0.33636197	3.0598264E+09	0.40923944	846917440	0.113271795	0.09955348	0.095536135	0	0	0.08180925	0.1666273	0	0	0.15353736	0.12325815	0	0	0.6650999	0.6145784	0	0	0	0
matrix_75_25_75_25_300_0.25	Y2025	3441440.2	824243	2617197.2	1.67353E+10	2.0861339E+09	495985060	114477140	433997200	876827300	164848600	90666740	143142400	240652260	90534620	1.4649166E+10	3.2422528E+09	619260540	162836530	1.1919699E+09	1.216851E+09	789383230	6.9032023E+09	523442300	287891700	1.1483727E+09	5354838	17.303833	1.1064115E+09	1.0506918E+10	0.9047292	1.6965256E+10	1.3473281E+11	0.88816434	1198.3693	311564320	5.1491835E+09	0.41375786	0.06050752	52105210	607068160	0.0487804	0.085830905	348075700	5.024127E+09	0.40370905	0.06928083	77637990	1.6645408E+09	0.13375263	0.04664229	0.0688184	263035330	0.44379544	17613030	0.029716853	298153280	0.50304675	13893341	0.023440963	0.10120194	118184150	0.39195883	7338851	0.024339367	163866260	0.54346395	12132599	0.040237878	0.07992566	1.1362075E+09	0.28123635	149248370	0.036942255	2.0105248E+09	0.49764913	744064100	0.18417224	0.110296234	3.6317576E+09	0.4835472	432867800	0.05763381	2.5515812E+09	0.33972806	894450800	0.11909088	0.095270984	0.09181625	0	0	0.034159347	0.097277984	0	0	0.4169855	0.41166747	0	0	0.45358413	0.39923832	0	0	0	0
matrix_75_75_00_00_100_0.25	Y2025	4745174	2257438	2487736.2	1.7637237E+10	4.277525E+09	1.1624904E+09	264086900	900344600	1.4991199E+09	451487580	248318180	334919940	684365800	90534620	1.3359713E+10	2.8125404E+09	759478700	0	1.1545496E+09	1.05030464E+09	751340100	6.3339756E+09	497546240	273651260	990625300	6946325.5	23.811094	2.6723822E+09	9.065314E+09	0.77232486	3.57295E+10	1.1596774E+11	0.76446843	0	369373380	6.1139917E+09	0.57477355	0.060414437	381966720	4.5232256E+09	0.4252264	0.08444565	0	0	0	NaN	0	0	0	NaN	0.15912123	353903200	0.66149557	181101440	0.33850443	0	0	0	0	0.069569096	152185630	0.49191147	157190450	0.5080886	0	0	0	0	0.31189105	1.5952165E+09	0.5278983	1.426609E+09	0.47210172	0	0	0	0	0.20258555	4.01268E+09	0.5926274	2.7583196E+09	0.4073726	0	0	0	0	0.22767475	0.24802196	0	0	0	0	0	0	0.25044474	0.2461325	0	0	0.5218805	0.50584555	0	0	0	0
matrix_00_00_25_75_300_0.25	Y2025	7344690.5	5795434.5	1549256.1	1.8924433E+10	1.1591099E+10	2.848287E+09	660649400	2.0515738E+09	4.871512E+09	1.1590868E+09	637497800	808347300	1.7797208E+09	90534620	7.333334E+09	1.6558723E+09	516578780	86240740	723021600	665029950	339570780	3.0371927E+09	309850780	170418300	588526660	4848001	15.190473	6.306044E+09	5.5060106E+09	0.46613485	8.29613E+10	6.873626E+10	0.45311385	441.94296	0	0	0	NaN	0	0	0	NaN	152121340	2.4972864E+09	0.3841144	0.060914658	187449440	4.0041262E+09	0.61588556	0.04681407	0.6167029	0	0	0	0	200868780	0.809781	47184436	0.190219	0.43309993	0	0	0	0	120198190	0.6294844	70748860	0.3705156	0.32953835	0	0	0	0	1.22026E+09	0.4022134	1.813602E+09	0.59778655	0.64722097	0	0	0	0	955958400	0.31564918	2.0725885E+09	0.6843508	0.5338651	0.5223488	0	0	0.069734365	0.13462447	0	0	0	0	0	0	0.3964005	0.3430267	0	0	0	0
matrix_00_00_75_00_100_0.25	Y2025	10777884	10777884	0	2.0118747E+10	2.0118747E+10	5.208271E+09	1.188593E+09	3.6728133E+09	7.8935363E+09	2.1555768E+09	1.1855672E+09	1.4750504E+09	3.3222748E+09	90534620	0	0	0	0	0	0	0	0	0	0	0	0	0	1.1784854E+10	0	0	1.5169634E+11	0	0	0	0	0	0	NaN	0	0	0	NaN	0	0	0	NaN	0	0	0	NaN	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
matrix_00_00_75_00_700_0.25	Y2025	5215214	3276568.2	1938645.8	1.7633526E+10	6.966648E+09	1.6498775E+09	384418500	1.2319596E+09	3.0450668E+09	655313660	360422530	471290850	999886100	90534620	1.0666877E+10	2.4425313E+09	435635780	276307680	876513150	976157800	512777200	4.7591634E+09	387726750	213250700	863861400	3723322.2	15.544357	3.6292918E+09	8.011367E+09	0.6882228	4.893676E+10	1.0276077E+11	0.6774057	1230.4336	0	0	0	NaN	0	0	0	NaN	512777200	9.373617E+09	1	0.054704305	0	0	0	NaN	0.32760543	0	0	0	0	433047070	1	0	0	0.2731658	0	0	0	0	243156300	1	0	0	0.16681015	0	0	0	0	3.613644E+09	1	0	0	0.3988448	0	0	0	0	5.083762E+09	1	0	0	0.31177717	0.24657534	0	0	0.6882228	0.75342464	0	0	0	0	0	0	0	0	0	0	0	0
matrix_00_25_75_75_700_0.5	Y2025	3871361.5	1518590.1	2352771.2	1.7072672E+10	3.626898E+09	844654700	195327200	659930900	1.6232696E+09	303718000	167044910	236053980	455620450	90534620	1.3445774E+10	2.992185E+09	487237540	322187680	1.056404E+09	1.2081123E+09	764458050	6.144592E+09	470550750	258803710	1.06648045E+09	4186029	16.072475	1.8704616E+09	9.721649E+09	0.83864355	2.4653609E+10	1.2704384E+11	0.83748174	2313.3142	0	0	0	NaN	36206164	425769600	0.036914192	0.085036986	711583040	1.0773373E+10	0.93405056	0.066050164	16668819	334893250	0.029035218	0.04977353	0.22452791	0	0	24323466	0.048972767	466318460	0.93888366	6031371.5	0.012143538	0.16143358	0	0	10914164	0.039513588	243985330	0.8833234	21313424	0.07716302	0.087511264	0	0	55653240	0.014060096	3.7513377E+09	0.9477286	151249460	0.038211286	0.19176315	0	0	334878940	0.049226	6.31171E+09	0.9277987	156298580	0.022975327	0.16135575	0.11575933	0	0	0.5852982	0.65248585	0	0	0	0	0	0	0.25334606	0.23175484	0	0	0	0
matrix_75_25_75_00_300_0.5	Y2025	3216324.5	656646	2559678.5	1.6552897E+10	1.7257239E+09	416403460	96146960	379462820	702382340	131329200	72231064	120716060	188764670	90534620	1.4827173E+10	3.2841974E+09	523475360	167738500	1.1555231E+09	1.2461658E+09	895471400	7.0426957E+09	511931940	281563330	1.162848E+09	4506734	15.745781	928520100	1.0641062E+10	0.91974473	1.465577E+10	1.3704146E+11	0.903388	2292.3374	259309390	4.277113E+09	0.33990362	0.0606272	32048370	369896060	0.029395765	0.08664156	604113660	7.9363026E+09	0.63070065	0.076120295	0	0	0	NaN	0.05027825	245218750	0.40657234	13010903	0.021572059	344907200	0.57185566	0	0	0.08953937	110054820	0.3629618	6591228	0.021737931	186567180	0.6153003	0	0	0.068539344	1.0067569E+09	0.24769829	71803816	0.017666312	2.9858877E+09	0.7346354	0	0	0.093663685	2.9150835E+09	0.38293335	278490270	0.03658324	4.4189353E+09	0.58048344	0	0	0.080255084	0.0769367	0	0	0.2009087	0.2510333	0	0	0.6675307	0.6157889	0	0	0.051305473	0.056241143	0	0	0	0
