scenario_name	year	co2_ton_per_y	icev_co2_ton_per_y	bev_co2_ton_per_y	all_total_€_per_y	icev_total_€_per_y	icev_vehicles_€_per_y	icev_interest_€_per_y	icev_fuel_€_per_y	icev_driver_€_per_y	icev_co2t_€_per_y	icev_co2i_€_per_y	icev_roadnpoltax_€_per_y	icev_fossil_fuel_liter_per_y	icev_renewable_fuel_liter_per_y	bev_total_€_per_y	bev_vehicles_€_per_y	bev_batteries_€_per_y	bev_pickup_€_per_y	bev_interest_€_per_y	bev_electricity_€_per_y	bev_infrastructure_€_per_y	bev_driver_€_per_y	bev_co2t_€_per_y	bev_co2i_€_per_y	bev_roadnpoltax_€_per_y	bat_kWhWear_per_y	bat_kWhWear_per_kWh	icev_km_per_y	bev_km_per_y	bev_km_ratio	icev_tonkm_per_y	bev_tonkm_per_y	bev_tonkm_ratio	ers_km	Depot_€_per_y	Depot_kWh	Depot_kWh_ratio	Depot_€_per_kWh	Destination_€_per_y	Destination_kWh	Destination_kWh_ratio	Destination_€_per_kWh	Road_€_per_y	Road_kWh	Road_kWh_ratio	Road_€_per_kWh	RestStop_€_per_y	RestStop_kWh	RestStop_kWh_ratio	RestStop_€_per_kWh	MGV16_icev_ratio	MGV16_Depot_kWh	MGV16_Depot_ratio	MGV16_Destination_kWh	MGV16_Destination_ratio	MGV16_Road_kWh	MGV16_Road_ratio	MGV16_RestStop_kWh	MGV16_RestStop_ratio	MGV24_icev_ratio	MGV24_Depot_kWh	MGV24_Depot_ratio	MGV24_Destination_kWh	MGV24_Destination_ratio	MGV24_Road_kWh	MGV24_Road_ratio	MGV24_RestStop_kWh	MGV24_RestStop_ratio	HGV40_icev_ratio	HGV40_Depot_kWh	HGV40_Depot_ratio	HGV40_Destination_kWh	HGV40_Destination_ratio	HGV40_Road_kWh	HGV40_Road_ratio	HGV40_RestStop_kWh	HGV40_RestStop_ratio	HGV60_icev_ratio	HGV60_Depot_kWh	HGV60_Depot_ratio	HGV60_Destination_kWh	HGV60_Destination_ratio	HGV60_Road_kWh	HGV60_Road_ratio	HGV60_RestStop_kWh	HGV60_RestStop_ratio	NA_Diesel_km_ratio	NA_Diesel_routes_ratio	Depot_km_ratio	Depot_routes_ratio	Ers_km_ratio	Ers_routes_ratio	DepotAndErsPropulsion_km_ratio	DepotAndErsPropulsion_routes_ratio	DepotAndErsCharging_km_ratio	DepotAndErsCharging_routes_ratio	AllPlannedStops_km_ratio	AllPlannedStops_routes_ratio	AllPlannedStopsAndErs_km_ratio	AllPlannedStopsAndErs_routes_ratio	AllPlannedAndExtraChargingStops_km_ratio	AllPlannedAndExtraChargingStops_routes_ratio	PublicStaticCharging_km_ratio	PublicStaticCharging_routes_ratio	
Q8_ExpectedScenario_neutral_optional_ers_0	Y2020	10417703	10417703	0	1.9061086E+10	1.9061086E+10	4.8839834E+09	1.1057276E+09	3.3722857E+09	7.6157804E+09	2.0835406E+09	1.0417703E+09	1.3818911E+09	3.2082857E+09	82000000	0	0	0	0	0	0	0	0	0	0	0	0	0	1.1150937E+10	0	0	1.4244048E+11	0	0	0	0	0	0	NaN	0	0	0	NaN	0	0	0	NaN	0	0	0	NaN	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q8_ExpectedScenario_neutral_optional_ers_0	Y2025	7517488	5546950.5	1970537.2	2.0065282E+10	1.1421247E+10	2.7971228E+09	640991100	1.9707195E+09	4.9030953E+09	1.1093901E+09	610164540	775081500	1.7027909E+09	90534620	8.644033E+09	1.8742094E+09	767785700	0	923483400	746363900	365544930	3.5725437E+09	394107330	216757340	681609900	7397450	153.61014	6.255567E+09	6.1729014E+09	0.49667436	7.840455E+10	7.888587E+10	0.50153	0	88380230	1.449822E+09	0.19565886	0.06095937	0	0	0	NaN	0	0	0	NaN	277164700	5.9601254E+09	0.8043411	0.046503168	0.6977372	90771160	0.42296368	0	0	0	0	123836300	0.5770364	0.60488194	52980316	0.37164652	0	0	0	0	89575350	0.62835354	0.32873696	346893660	0.107821085	0	0	0	0	2.8704146E+09	0.89217895	0.56169397	959176400	0.25008026	0	0	0	0	2.876298E+09	0.7499197	0.50332767	0.59316605	0.07959864	0.09907342	0	0	0	0	0	0	0.047660064	0.041599523	0.0025461293	0.0049660667	0	0	0.3668675	0.26119494
Q8_ExpectedScenario_neutral_optional_ers_0	Y2030	5765725	4182035.5	1583689.4	2.0490275E+10	9.138875E+09	2.2353782E+09	514065470	1.6066112E+09	3.9464527E+09	836407100	501844300	624623940	1.2823334E+09	99957544	1.13514E+10	2.4382697E+09	609682700	0	1.0925059E+09	975989300	592345660	5.3257953E+09	316735230	190044700	905009400	7662419	160.03223	4.9673293E+09	8.635431E+09	0.6348293	6.2592102E+10	1.110679E+11	0.639571	0	191492880	3.0416328E+09	0.30976686	0.062957264	39000892	455748900	0.046414513	0.085575394	0	0	0	NaN	361851870	6.321722E+09	0.6438187	0.057239447	0.5157819	204238690	0.5702049	21294026	0.059449848	0	0	132651980	0.3703452	0.50920266	78394536	0.41176078	10926897	0.05739262	0	0	101067110	0.5308466	0.23427086	691260700	0.18103866	136227650	0.03567753	0	0	2.9908157E+09	0.7832838	0.40211517	2.0677454E+09	0.379248	287300060	0.052694093	0	0	3.0971794E+09	0.5680579	0.36516947	0.42533857	0.15252322	0.18831153	0	0	0	0	0	0	0.09927138	0.08864158	0.042467847	0.033282716	0	0	0.34056813	0.2644256
Q8_ExpectedScenario_neutral_optional_ers_0	Y2035	4417401.5	3271078.5	1146322.9	2.1059709E+10	7.6118395E+09	1.8669343E+09	430923000	1.3630383E+09	3.2967457E+09	654215700	425240200	537932540	1.002112E+09	110361200	1.344787E+10	2.8503596E+09	442539970	0	1.185746E+09	1.1401288E+09	748218200	6.851623E+09	229266200	149021920	1.07043725E+09	7008024.5	144.85426	4.1296525E+09	1.0748354E+10	0.7224324	5.1001033E+10	1.4072698E+11	0.7339928	0	278069250	4.59725E+09	0.39688787	0.060485996	81733130	867534400	0.07489562	0.09421313	0	0	0	NaN	388415780	6.118462E+09	0.5282165	0.06348258	0.40996942	287000300	0.62895256	45982980	0.100770324	0	0	123331416	0.2702771	0.37861377	129110210	0.530685	21750598	0.08940204	0	0	92428910	0.37991294	0.18514265	1.01795885E+09	0.24175102	231450370	0.054966234	0	0	2.9613645E+09	0.7032827	0.29696465	3.1631813E+09	0.47403672	568349500	0.08517329	0	0	2.9413304E+09	0.44079	0.27756336	0.30158588	0.22202149	0.28860128	0	0	0	0	0	0	0.13325326	0.14238511	0.06346597	0.046337042	0	0	0.30369592	0.22109067
Q8_ExpectedScenario_neutral_optional_ers_0	Y2040	3166353.2	2322507.5	843845.75	2.1812543E+10	5.846052E+09	1.4433917E+09	333955000	1.075905E+09	2.5282778E+09	464501500	325151040	444657340	709981900	121847690	1.5966493E+10	3.4653798E+09	345774940	0	1.3066167E+09	1.3022771E+09	793797000	8.5838326E+09	168766720	118137144	1.2373252E+09	7058883	145.46999	3.1810168E+09	1.3101831E+10	0.80464	3.8647673E+10	1.7302518E+11	0.8174179	0	379495040	6.3812255E+09	0.47641012	0.059470557	108698050	1.1775775E+09	0.08791569	0.092306495	0	0	0	NaN	305603900	5.8355927E+09	0.43567422	0.052368958	0.28069994	401424450	0.6929188	61309660	0.10582966	0	0	116589880	0.20125161	0.2920905	191062320	0.6233605	26532754	0.08656585	0	0	88908620	0.29007357	0.14230642	1.4723091E+09	0.31959552	328928000	0.07140071	0	0	2.805552E+09	0.6090038	0.20106506	4.3164283E+09	0.54626024	760806850	0.096282974	0	0	2.8245448E+09	0.35745677	0.19535848	0.19937865	0.29133132	0.3703477	0	0	0	0	0	0	0.18374592	0.18077335	0.070316344	0.06948619	0	0	0.2592479	0.1800141
Q8_ExpectedScenario_neutral_optional_ers_0	Y2045	1935232.5	1320449.9	614782.6	2.2692639E+10	3.8903698E+09	959182700	224460780	734407040	1.7082339E+09	264089970	198067470	330298620	401067300	134529700	1.880227E+10	4.1484104E+09	269903580	0	1.4595208E+09	1.4553094E+09	875291650	1.0470779E+10	122957510	92217110	1.4083825E+09	7055852	144.24792	2.0809187E+09	1.575641E+10	0.8833391	2.6142456E+10	2.0755492E+11	0.88813543	0	506091680	8.764487E+09	0.5758153	0.05774345	112806010	1.0703698E+09	0.0703219	0.10538975	0	0	0	NaN	256393950	5.3861453E+09	0.35386273	0.047602493	0.169763	515242850	0.73803663	72433500	0.10375414	0	0	110450030	0.15820922	0.17717366	250005810	0.6905415	26400528	0.07292095	0	0	85636800	0.23653756	0.07045987	2.4045E+09	0.4657852	312412060	0.060518578	0	0	2.445339E+09	0.47369626	0.12848385	5.594735E+09	0.6217349	659123000	0.073247395	0	0	2.744728E+09	0.30501768	0.116659984	0.117732964	0.37819752	0.45271778	0	0	0	0	0	0	0.25965726	0.22118364	0.08870089	0.08340435	0	0	0.15678433	0.124961264
Q8_ExpectedScenario_neutral_optional_ers_0	Y2050	811075.1	366193.2	444881.97	2.377631E+10	1.8768785E+09	482484800	112382690	374957820	833813000	73238640	58590910	191209780	106759490	148531650	2.189943E+10	4.869668E+09	215361140	0	1.6391969E+09	1.5981454E+09	951468500	1.2536292E+10	88974690	71180480	1.5759251E+09	7202930.5	146.01779	1.04433056E+09	1.853737E+10	0.946668	1.2727267E+10	2.4528925E+11	0.9506726	0	641448600	1.1461451E+10	0.67338437	0.05596574	84244630	769040060	0.045182724	0.10954518	0	0	0	NaN	225775280	4.7901747E+09	0.28143287	0.047132995	0.08807349	658577150	0.82247245	39494068	0.04932267	0	0	102657320	0.1282049	0.11552871	318203780	0.774329	14097730	0.034305945	0	0	78639790	0.19136502	0.03145479	3.101087E+09	0.5531309	266103740	0.047464073	0	0	2.239234E+09	0.399405	0.05398019	7.3836037E+09	0.7236988	449345300	0.04404227	0	0	2.3696435E+09	0.23225896	0.053330738	0.04241687	0.48002672	0.5787094	0	0	0	0	0	0	0.29907554	0.24229524	0.10969177	0.08932334	0	0	0.05787521	0.047255106
Q8_ExpectedScenario_pro-dynamic_optional_ers_0	Y2020	10417609	10417609	0	1.906115E+10	1.906115E+10	4.883951E+09	1.1057192E+09	3.3722565E+09	7.6157425E+09	2.0835219E+09	1.04176096E+09	1.3819122E+09	3.2082565E+09	82000000	0	0	0	0	0	0	0	0	0	0	0	0	0	1.1150885E+10	0	0	1.4243986E+11	0	0	0	0	0	0	NaN	0	0	0	NaN	0	0	0	NaN	0	0	0	NaN	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q8_ExpectedScenario_pro-dynamic_optional_ers_0	Y2025	7469349	5554311	1915038.2	1.9661076E+10	1.1226873E+10	2.6522276E+09	581248100	1.9731146E+09	4.909379E+09	1.1108622E+09	610974200	776073660	1.7050697E+09	90534620	8.4342026E+09	1.7907446E+09	710780000	0	842419650	751214140	357492000	3.5985503E+09	383005660	210655040	685963600	6756144	140.20229	6.264587E+09	6.221608E+09	0.49827892	7.8447256E+10	7.918885E+10	0.5023523	0	93177410	1.4501978E+09	0.1953969	0.06425152	0	0	0	NaN	0	0	0	NaN	264314600	5.971608E+09	0.80460316	0.04426188	0.6971452	90839540	0.42276895	0	0	0	0	124028510	0.57723105	0.58654654	53096044	0.35240197	0	0	0	0	97572936	0.647598	0.3278981	346818530	0.10772805	0	0	0	0	2.8725706E+09	0.89227194	0.5615185	959447740	0.25005764	0	0	0	0	2.8774584E+09	0.74994236	0.50171983	0.5923371	0.0794689	0.09910053	0	0	0	0	0	0	0.03582761	0.029784778	0.014380741	0.017090706	0	0	0.36860293	0.26168692
Q8_ExpectedScenario_pro-dynamic_optional_ers_0	Y2030	5712665.5	4202547.5	1510118	1.9776262E+10	8.858254E+09	2.0184908E+09	423546180	1.613626E+09	3.9620506E+09	840509500	504305730	627490050	1.2886839E+09	99957544	1.0918008E+10	2.2376018E+09	518247400	0	905906050	986287900	583699700	5.3841623E+09	302023460	181214000	914468860	6359332	133.0104	4.995544E+09	8.739583E+09	0.6362943	6.272389E+10	1.1174448E+11	0.64048564	0	212061010	3.0433772E+09	0.30985045	0.069679506	35700460	456640000	0.04649115	0.07818075	0	0	0	NaN	335938240	6.322067E+09	0.6436584	0.053137407	0.51489586	204598110	0.5706161	21301772	0.05940981	0	0	132656584	0.36997402	0.5069219	78443976	0.41185656	10936648	0.057420984	0	0	101083680	0.53072244	0.23289144	689653440	0.18062067	137006350	0.03588205	0	0	2.9915822E+09	0.7834973	0.4017436	2.0706911E+09	0.37960732	287395140	0.05268642	0	0	3.0967375E+09	0.5677062	0.36370435	0.42483497	0.15197133	0.18826506	0	0	0	0	0	0	0.06263379	0.06169621	0.08089234	0.06119263	0	0	0.34079817	0.2640111
